table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1.04,1.07,0.97,1,1,1.17,1.22,0.73,0.91,1.01,1.12,1.08,0.68,1.03,1.18,0.56,0.84,0.78,1.04,1.03,1.06,0.95,1.09,0.87,1.09,0.9,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,194,109,85,,,,,,,,71,62,20,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,50,40,34,12,16,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,193,106*,87*,,,,,,,,54*,69*,29**,42*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46*,49*,40*,33**,9**,16**,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,NET: Trust,64,31,33,,,,,,,,18,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,10,15,3,3,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,5 - Trust completely,17,6,11,,,,,,,,8,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,3,2,-,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,4,47,25,23,,,,,,,,10,16,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,8,12,1,3,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,3,87,53,35,,,,,,,,23,36,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,20,17,3,8,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,2,34,19,15,,,,,,,,11,12,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,7,*,3,5,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,1 - Do not trust at all,8,4,4,,,,,,,,2,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,-,-,-,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,NET: Do not trust,42,23,18,,,,,,,,13,16,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,10,*,3,5,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,Mean,3.16,3.09,3.25,,,,,,,,3.19,2.97,3.22,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.07,2.97,3.55,3.3,2.86,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.95,0.89,1.02,,,,,,,,1.06,0.85,0.97,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,0.95,0.68,1.22,0.73,,,
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,178,117,61,47,43,50,32,23,15,11,61,51,26,40,15,6,16,12,23,8,2,15,48,20,9,4,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,92,49
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,165,109*,56*,46*,42*,45*,31**,20**,12**,10**,55*,47*,26**,38*,16**,5**,17**,9**,22**,6**,1**,12**,44*,17**,11**,4**,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7**,81*,47*
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,58,39,19,19,17,13,11,8,6,2,20,17,9,12,6,2,3,4,9,2,-,4,17,7,4,-,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,13
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,19,14,5,10,8,5,2,1,1,-,10,4,4,2,3,-,1,-,2,1,-,-,9,3,-,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,2
Table 75,Q5. Trust in the sources for information/news about Coronavirus used in last week: YouTube,ONLINE Fieldwork: 4th to 6th December 2020,4,39,25,14,9,9,7,9,8,5,2,10,13,5,11,3,2,2,4,7,2,-,4,7,4,4,-,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,11
