table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from UK Government website/ email/ text/ post,3,2,1,1,1,-,1,-,-,1,1,1,1,-,1,1,-,-,1,-,-,-,-,-,-,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local health service website/ email/ text/ post,2,2,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,2,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Advertising,2,1,2,2,1,-,-,-,1,-,-,1,1,1,1,-,1,-,-,1,-,-,-,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Podcasts,2,2,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Snapchat,2,1,1,1,1,-,2,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,1,-,-,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Channel 4,2,2,-,-,-,1,-,-,*,1,2,*,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,"Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Broadsheets” such as The Times or Guardian,2,1,*,-,-,*,1,-,*,-,1,*,*,-,-,-,-,-,1,-,1,-,-,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,189,92*,97*,31**,30**,39*,31**,31**,25**,31**,55*,52*,40*,42*,26**,9**,26**,11**,12**,14**,9**,17**,29**,16**,16**,3**,151
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),2,-,2,-,-,-,2,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from NHS website/ email/ text/ post,2,2,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),1,1,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Facebook messenger,1,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Channel 5,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Direct from Local council website/ email/ text/ post,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1
