table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),159,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,82,121,40,48,59,12,47,8,13,39,40,139,1,50,16,4,55,59,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,14,9,3,7,1,6,-,1,6,2,26,1,7,1,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.63,1.55,1.57,1.78,1.73,1.84,1.73,1.91,1.73,1.64,1.79,1.53,1.49,1.51,1.65,0.91,1.7,1.38,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.87,0.84,0.87,0.8,0.89,0.89,0.88,0.92,0.94,0.86,0.84,0.87,0.78,0.84,0.83,0.61,0.85,0.83,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,24,19,44,18,19,117,123,110,58,287,66,327,339,348,358,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25**,27**,22**,16**,40*,16**,16**,104,113,105*,51*,267,63*,304,318,326,334,-**,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,13,9,20,6,11,54,50,49,24,125,29,133,137,142,144,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,*,2,4,8,1,5,16,23,17,9,49,11,51,52,54,54,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,5,12,5,6,38,27,32,14,76,18,83,85,87,89,-,,,,,,
Table 68,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,9,7,19,9,5,46,50,47,22,122,24,143,150,153,159,-,,,,,,
