table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,E-reader (e.g. Kindle),232,114,117,25,23,32,30,34,39,70,84,64,51,33,16,13,26,23,23,15,13,14,37,25,17,9,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",189,107,82,48,45,53,37,24,14,12,71,55,37,26,11,12,20,9,12,17,9,14,37,27,18,4,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Other portable/ handheld device (e.g. portable games console/ iPod Touch),61,34,28,20,19,22,14,3,1,2,27,19,4,13,4,3,5,6,4,2,4,7,13,7,5,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Netbook,41,34,7,9,9,12,2,7,2,8,16,7,8,10,3,-,7,2,3,3,6,-,9,3,4,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Other device,14,9,5,2,2,2,1,3,2,4,6,1,2,5,1,-,2,1,2,-,-,2,1,3,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,"Not applicable, I do not have access to the internet",2,2,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 11th to 13th September 2020,Don't know,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
