table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,1st most important,226,128,98,33,31,53,37,29,32,42,59,64,46,57,17,13,24,17,20,12,12,19,31,34,19,8,189,,,
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,408,192,216,71,63,90,49,68,48,82,89,119,96,104,41,15,36,31,35,34,14,33,65,62,33,8,345,,,
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,492,232,260,66,50,68,70,77,77,134,146,141,89,116,40,14,63,36,36,34,23,54,62,66,47,14,414,,,
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,No answer,989,483,506,121,107,143,172,191,147,215,282,272,198,238,78,42,110,88,93,72,51,93,120,126,81,33,827,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,NET: Important,1099,515,584,186,157,191,169,172,141,239,300,299,218,283,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,1st most important,276,140,136,55,46,48,33,50,38,52,67,70,54,86,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,2nd most important,387,184,203,76,68,69,64,55,49,74,109,116,74,88,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,3rd most important,436,191,245,55,43,74,72,67,55,113,124,113,89,109,,,,,,,,,,,,,,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 7th to 9th August 2020,No answer,1021,521,500,106,94,163,160,192,164,236,277,299,213,232,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,NET: Important,1316,643,673,210,176,218,184,207,176,321,350,387,256,323,105,52,147,100,113,89,60,129,171,199,117,35,1117,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,1st most important,371,190,181,65,50,63,57,58,45,83,108,97,80,86,27,17,37,28,33,20,15,32,68,51,36,8,321,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,2nd most important,467,225,242,84,75,65,53,79,62,124,109,157,83,117,39,15,50,39,42,31,21,49,56,67,44,12,394,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,3rd most important,478,228,251,61,52,89,75,70,70,113,132,133,93,120,38,19,60,33,38,39,24,48,47,81,37,15,402,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 9th to 11th October 2020,No answer,873,428,445,92,85,148,155,169,139,170,246,230,188,209,78,35,95,78,78,68,44,77,117,101,70,31,720,,,
