table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2086,1019,1067,287,247,347,319,360,301,471,568,591,424,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,NET: More,440,195,245,83,73,89,83,75,49,62,116,123,99,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A lot more          (+3),108,44,64,25,23,22,21,13,10,17,26,27,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),333,151,182,58,50,67,62,61,39,45,90,96,72,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),1062,539,523,111,97,178,163,199,176,236,289,290,219,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),583,285,298,93,78,80,74,86,77,174,163,179,106,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Mean,0.98,0.96,1.01,1.05,1.07,1.09,1.1,1,0.94,0.8,0.96,0.95,1.05,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.8,0.77,0.83,0.93,0.94,0.82,0.83,0.75,0.71,0.75,0.79,0.8,0.82,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2071,1025,1046,262,230,335,324,333,304,513,581,542,424,524,193,78,243,149,168,162,104,216,286,238,173,61,340,896,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2072,1011,1061,286,244,345,316,360,298,467,565,586,419,501,173,83*,229,169,181,147,99*,196,272,280,179,63*,329,834,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
