table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Don't use            (0),560,258,302,80,64,93,49,84,74,180,151,178,93,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.04,1.04,1.05,1.11,1.15,1.1,1.21,1.08,1.04,0.83,1.05,0.99,1.13,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.84,0.82,0.86,0.88,0.89,0.89,0.78,0.84,0.82,0.78,0.83,0.84,0.81,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2077,1029,1048,263,232,326,322,342,325,499,542,614,387,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,2077,1018,1059,286,251,347,321,353,302,468,571,587,420,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,NET: More,550,267,284,89,82,105,101,94,82,79,154,129,133,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A lot more          (+3),137,53,84,27,26,30,26,27,15,11,33,33,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,A little more       (+2),414,213,200,62,56,74,75,66,67,68,121,95,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,About the same      (+1),905,484,421,100,84,143,151,171,129,211,239,265,179,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Don't use            (0),622,268,354,97,85,99,69,89,90,178,178,193,108,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.03,1.05,1.01,1.07,1.09,1.11,1.18,1.09,1.02,0.81,1.02,0.95,1.14,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.87,0.82,0.92,0.97,0.98,0.92,0.86,0.86,0.85,0.76,0.87,0.85,0.9,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2095,1001,1094,219,187,334,383,409,312,438,610,604,420,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2096,1026,1071,290,249,348,320,362,304,473,573,593,428,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,NET: More,484,224,261,98,86,93,84,76,74,60,132,135,105,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A lot more          (+3),116,43,73,24,22,17,24,24,17,10,38,20,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,A little more       (+2),368,181,188,74,64,76,60,52,57,50,94,116,85,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,About the same      (+1),1055,518,537,115,99,151,177,204,151,258,282,293,225,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Don't use            (0),557,284,273,78,63,104,60,82,80,155,159,165,98,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.02,0.98,1.06,1.15,1.18,1.02,1.15,1.05,1.04,0.82,1.02,0.98,1.06,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.81,0.79,0.84,0.91,0.91,0.85,0.81,0.79,0.82,0.7,0.84,0.78,0.78,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2121,1026,1095,265,233,315,327,388,321,505,677,622,328,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2116,1034,1082,294,257,354,323,365,301,479,582,602,424,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,NET: More,575,278,297,78,68,133,93,107,68,95,169,150,121,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A lot more          (+3),175,65,110,21,19,41,22,31,24,37,50,37,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,A little more       (+2),400,212,187,57,48,92,71,77,45,58,119,113,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,About the same      (+1),970,503,467,120,107,142,173,183,153,200,265,274,202,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Don't use            (0),571,253,318,97,82,79,57,74,80,183,148,178,102,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.08,1.09,1.08,1,1.02,1.27,1.18,1.17,1.04,0.89,1.12,1.01,1.13,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.88,0.83,0.93,0.9,0.9,0.94,0.8,0.85,0.85,0.9,0.89,0.85,0.87,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2085,1032,1053,270,236,346,324,335,323,487,602,583,373,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2085,1020,1065,284,245,352,321,355,298,474,571,590,418,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,NET: More,476,233,243,90,83,113,76,64,60,73,144,134,95,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A lot more          (+3),120,60,60,17,15,33,19,20,16,16,35,28,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,A little more       (+2),356,173,183,74,68,80,56,44,45,57,109,105,64,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,About the same      (+1),1069,525,544,108,99,179,181,211,165,224,283,294,229,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Don't use            (0),540,261,278,85,63,60,64,80,72,177,144,162,94,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.03,1.03,1.02,1.08,1.15,1.24,1.1,1.01,1.01,0.81,1.06,1,1.08,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.81,0.81,0.81,0.89,0.87,0.84,0.78,0.76,0.78,0.77,0.83,0.8,0.82,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2226,1083,1143,,,,,,,,802,620,310,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,390,365,392,371,499
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2224,1085,1139,,,,,,,,609,627,452,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,384,354,395,329,516
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,NET: More,849,366,483,,,,,,,,210,248,176,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,169,170,138,116,149
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A lot more          (+3),331,116,216,,,,,,,,73,89,65,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,64,69,53,49,49
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,A little more       (+2),518,250,267,,,,,,,,136,159,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,105,101,84,66,101
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,About the same      (+1),844,472,372,,,,,,,,237,234,170,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,129,142,173,132,212
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Don't use            (0),531,247,284,,,,,,,,163,145,106,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,85,42,84,82,154
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.29,1.22,1.36,,,,,,,,1.2,1.31,1.3,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.39,1.56,1.27,1.25,1.08
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.99,0.92,1.05,,,,,,,,0.97,0.98,0.98,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.01,0.93,0.95,0.99,0.93
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2134,1099,1035,285,254,351,345,312,336,505,639,601,363,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2140,1049,1092,292,257,359,328,369,310,482,586,603,435,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,NET: More,405,195,210,83,76,85,71,61,47,58,108,103,119,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A lot more          (+3),72,38,34,13,12,18,11,14,6,10,13,20,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,A little more       (+2),333,156,176,70,64,66,60,47,41,49,96,83,93,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,About the same      (+1),1132,584,548,115,104,196,194,218,166,244,303,324,202,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Don't use            (0),603,270,333,95,78,78,62,91,98,180,175,177,114,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Mean,0.94,0.96,0.92,1,1.04,1.07,1.06,0.96,0.86,0.77,0.91,0.91,1.07,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 24,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.75,0.74,0.76,0.86,0.86,0.78,0.71,0.72,0.71,0.71,0.74,0.74,0.84,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
