table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A little more       (+2),691,329,362,123,111,120,106,133,87,123,206,200,125,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,About the same      (+1),861,471,391,83,78,129,143,139,137,231,230,253,170,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Don't use            (0),162,58,104,25,18,27,25,18,22,44,33,37,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.64,1.61,1.66,1.76,1.79,1.7,1.57,1.73,1.6,1.5,1.68,1.64,1.64,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.88,0.83,0.92,0.89,0.86,0.9,0.85,0.84,0.88,0.88,0.84,0.85,0.93,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2091,1021,1070,287,247,350,324,360,300,470,570,594,421,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,NET: More,940,473,467,168,145,176,143,156,132,165,284,263,192,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A lot more          (+3),325,158,167,62,56,69,55,61,37,42,98,102,64,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A little more       (+2),615,315,300,107,88,107,88,95,95,123,186,161,128,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,About the same      (+1),983,493,490,99,88,150,162,183,147,244,254,284,198,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
