table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 7th to 10th May 2020,No,617,308,309,90,73,101,83,114,89,141,168,163,133,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 7th to 10th May 2020,Don't know,540,242,298,39,36,93,76,93,90,149,123,165,113,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2077,1029,1048,263,232,326,322,342,325,499,542,614,387,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,2077,1018,1059,286,251,347,321,353,302,468,571,587,420,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 24th to 26th April 2020,Yes,1033,539,494,142,125,176,150,151,175,239,314,294,217,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 24th to 26th April 2020,No,579,293,286,82,69,97,89,111,75,124,146,162,111,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 24th to 26th April 2020,Don't know,465,187,278,61,57,74,82,91,52,105,111,130,92,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2095,1001,1094,219,187,334,383,409,312,438,610,604,420,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2096,1026,1071,290,249,348,320,362,304,473,573,593,428,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 5th to 7th June 2020,Yes,765,387,379,124,110,119,139,119,105,159,245,220,145,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 5th to 7th June 2020,No,705,380,326,108,87,115,79,129,105,169,193,199,147,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 5th to 7th June 2020,Don't know,626,259,367,57,52,115,102,113,94,145,134,174,136,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
