table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),London (w),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,101,,,,,,,,,,,,,,,,,,,,,,,,,,70,31,58,26,29,40,17,30,9,10,38,27,83,3,22,10,2,48,28,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.66,1.64,1.62,1.65,1.58,1.31,1.57,1.52,1.5,1.54,1.63,1.61,1.31,1.65,1.62,1.75,1.55,1.63,,,,,,,,,,,,,,,,,,
Table 323,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.73,0.75,0.79,0.79,0.85,1.04,0.83,0.85,0.91,0.96,0.8,0.81,1.25,0.71,0.78,0.65,0.9,0.78,,,,,,,,,,,,,,,,,,
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,141,121,114,229,106,86,574,661,580,392,1394,412,1547,1628,1669,1731,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,138,118,113*,227,102*,86*,582,666,592,392,1402,415,1570,1654,1694,1755,-**
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,126,112,103,213,95,80,550,625,542,361,1341,387,1503,1603,1634,1654,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,98,71,71,165,69,58,425,431,380,227,1048,268,1173,1243,1260,1265,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,28,42,32,48,26,23,126,194,162,134,293,119,330,359,375,389,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,4,6,6,3,22,28,32,19,41,21,46,38,46,71,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,6,8,1,2,10,12,18,12,20,7,22,14,14,30,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,6,10,15,7,5,32,41,49,31,61,28,68,52,60,101,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.51,1.49,1.4,1.56,1.54,1.53,1.6,1.51,1.45,1.39,1.65,1.49,1.65,1.68,1.67,1.59,-
Table 324,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.98,0.79,1.04,0.93,0.83,0.88,0.82,0.85,0.96,0.95,0.76,0.87,0.75,0.67,0.69,0.83,-
