table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Not closely,50,37,13,10,10,16,12,8,2,1,14,16,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.78,1.7,1.86,1.68,1.66,1.65,1.72,1.79,1.86,1.94,1.8,1.75,1.83,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.58,0.68,0.44,0.67,0.7,0.72,0.71,0.58,0.4,0.27,0.57,0.6,0.48,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,NET: Closely,2074,1006,1068,288,249,335,318,356,302,475,567,590,418,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Very closely        (+2),1683,785,898,206,175,264,243,287,256,427,483,476,314,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Fairly closely      (+1),390,220,170,82,75,71,74,69,46,48,84,114,104,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Not very closely    (-1),36,21,15,5,5,11,7,9,3,1,9,9,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Not at all closely  (-2),17,13,4,-,-,9,5,1,2,1,3,1,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,NET: Not closely,53,34,19,5,5,20,12,10,4,2,11,10,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.73,1.68,1.79,1.67,1.65,1.61,1.65,1.73,1.8,1.89,1.79,1.76,1.65,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.63,0.7,0.54,0.57,0.59,0.85,0.73,0.62,0.53,0.37,0.55,0.54,0.69,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,NET: Closely,2039,984,1055,272,238,336,311,353,297,471,560,568,416,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Very closely        (+2),1705,789,916,207,177,248,259,292,266,433,482,461,342,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Fairly closely      (+1),334,196,139,65,61,88,51,61,31,38,78,107,74,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Not very closely    (-1),52,35,17,14,14,11,12,7,7,2,9,22,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Not at all closely  (-2),14,10,4,4,4,4,4,2,-,-,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,NET: Not closely,67,45,21,18,17,16,16,9,7,2,13,26,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.74,1.67,1.81,1.57,1.54,1.6,1.69,1.75,1.83,1.91,1.79,1.68,1.74,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.65,0.74,0.54,0.85,0.86,0.76,0.76,0.61,0.52,0.32,0.59,0.72,0.63,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,1014,1112,222,190,341,393,415,314,441,616,610,426,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,1040,1086,293,252,355,329,366,306,477,579,599,432,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,NET: Closely,2028,972,1056,277,238,322,316,349,301,462,564,566,414,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Very closely        (+2),1514,702,811,171,144,209,238,267,234,395,430,407,311,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Fairly closely      (+1),514,270,245,106,94,113,79,81,67,68,134,159,103,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Not very closely    (-1),66,40,26,12,10,23,10,8,3,10,10,25,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Not at all closely  (-2),32,27,5,4,4,9,3,8,2,5,4,9,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,NET: Not closely,98,67,31,16,14,32,13,17,5,15,14,34,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.6,1.52,1.69,1.45,1.45,1.38,1.63,1.62,1.73,1.76,1.69,1.55,1.63,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.78,0.89,0.64,0.82,0.83,0.97,0.73,0.81,0.58,0.66,0.64,0.82,0.75,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Closely,2100,1014,1085,288,251,344,316,369,306,476,568,593,427,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Very closely        (+2),1723,787,936,216,185,260,257,297,268,425,471,477,344,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Fairly closely      (+1),377,228,149,73,66,84,59,72,38,51,97,116,83,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Not very closely    (-1),39,28,11,8,8,11,10,1,3,6,13,10,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Not at all closely  (-2),12,9,3,-,-,4,7,-,1,-,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Not closely,50,37,13,8,8,15,17,1,3,6,16,13,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.75,1.67,1.83,1.67,1.65,1.63,1.64,1.8,1.84,1.86,1.74,1.74,1.74,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.6,0.7,0.48,0.62,0.65,0.75,0.82,0.41,0.46,0.44,0.63,0.6,0.6,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,1047,1068,276,241,347,333,342,330,487,606,589,382,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,1034,1081,292,250,353,328,364,305,474,575,596,429,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,NET: Closely,2019,975,1044,267,227,330,314,344,299,464,550,566,412,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Very closely        (+2),1405,640,765,176,151,193,199,235,238,363,399,378,273,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Fairly closely      (+1),614,335,279,91,76,137,116,109,61,100,151,189,139,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Not very closely    (-1),65,37,28,17,17,17,6,12,4,9,15,22,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Not at all closely  (-2),31,22,9,8,6,6,7,7,1,2,11,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,NET: Not closely,96,59,37,25,24,23,13,20,5,11,26,30,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Mean,1.56,1.48,1.63,1.41,1.39,1.4,1.5,1.52,1.74,1.72,1.59,1.52,1.54,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.78,0.85,0.7,0.95,0.98,0.86,0.79,0.83,0.57,0.6,0.79,0.8,0.77,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2232,1087,1145,,,,,,,,802,620,311,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,391,367,392,373,499
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2232,1089,1143,,,,,,,,609,627,453,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,386,357,395,330,516
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,NET: Closely,2197,1068,1128,,,,,,,,598,616,449,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,377,354,391,330,513
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Very closely        (+2),1875,872,1003,,,,,,,,527,524,373,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,319,301,327,283,467
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Fairly closely      (+1),322,196,125,,,,,,,,71,92,75,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,58,53,64,47,46
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Not very closely    (-1),23,12,11,,,,,,,,7,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,2,3,1,1
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Not at all closely  (-2),12,9,3,,,,,,,,5,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,1,-,1
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,NET: Not closely,35,21,15,,,,,,,,12,11,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,3,4,1,3
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.8,1.75,1.85,,,,,,,,1.82,1.8,1.8,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.77,1.83,1.81,1.85,1.89
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.53,0.59,0.47,,,,,,,,0.56,0.54,0.49,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.62,0.44,0.48,0.37,0.37
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,NET: Closely,2041,993,1049,265,234,323,320,358,302,474,557,563,421,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Very closely        (+2),1469,695,773,153,132,206,223,269,240,377,401,404,302,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Fairly closely      (+1),573,297,276,112,102,117,97,89,62,97,156,159,120,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Not very closely    (-1),89,46,42,24,20,27,12,11,7,7,24,37,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Not at all closely  (-2),34,19,15,10,10,11,3,3,3,4,7,10,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,NET: Not closely,123,66,57,33,30,39,15,14,10,11,31,47,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Mean,1.55,1.52,1.58,1.26,1.24,1.32,1.57,1.64,1.7,1.72,1.56,1.49,1.59,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.83,0.85,0.79,1.03,1.04,1.03,0.76,0.72,0.67,0.62,0.8,0.91,0.74,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
