table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.71,1.65,1.77,1.66,1.63,1.64,1.67,1.67,1.75,1.83,1.74,1.74,1.66,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.63,0.7,0.56,0.63,0.66,0.62,0.71,0.7,0.61,0.52,0.53,0.62,0.68,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,2033,983,1050,276,237,330,309,345,300,472,554,572,416,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),1552,736,816,192,162,228,216,262,246,409,428,439,297,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),481,248,233,84,75,103,94,83,55,63,126,133,119,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),67,42,24,17,15,19,13,13,3,1,19,19,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),19,11,9,-,-,4,5,6,2,2,4,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,86,53,33,17,15,23,19,19,5,3,23,26,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
