table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Trust,59,24,35,9,9,10,6,7,10,17,18,15,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,5 - Trust completely,16,7,9,3,3,3,3,3,2,3,5,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,4,43,17,26,7,7,7,3,5,7,13,13,12,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,3,28,16,12,4,4,6,2,5,2,8,10,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,2,5,5,1,-,-,2,2,1,-,-,-,5,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,1 - Do not trust at all,2,1,1,-,-,-,1,-,-,1,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Do not trust,7,6,1,-,-,2,3,1,-,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,3.71,3.54,3.87,3.88,3.88,3.62,3.45,3.64,4.05,3.67,3.72,3.48,3.78,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.89,0.97,0.78,0.73,0.73,0.89,1.27,0.94,0.62,0.86,0.91,0.9,0.83,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,90,48,42,10,10,12,19,13,15,21,25,29,15,21,1,2,14,11,7,6,3,5,23,11,3,4,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,91*,48*,43*,13**,13**,14**,19**,13**,12**,20**,23**,30**,16**,22**,2**,2**,16**,12**,9**,5**,3**,5**,22**,10**,4**,3**,83*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,61,33,28,9,9,9,12,9,6,16,17,23,8,14,-,2,10,9,7,3,2,2,12,9,4,2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
