table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,790,396,394,167,149,187,144,112*,80*,100*,225,237,141*,188,56*,38*,99*,46*,61*,49*,38**,63*,149,97*,69*,26**,671,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,NET: Each time / most times / sometimes,410,228,182,101,90,105,94,47,31,32,123,135,76,75,30,18,53,27,27,21,17,33,98,50,27,11,353,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Each time I go onto social media,68,35,33,20,17,24,16,1,-,7,25,15,21,7,5,4,11,4,6,5,2,2,16,7,5,1,59,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Most times,96,60,36,30,28,31,15,13,3,4,31,35,10,20,5,1,10,12,4,6,3,10,23,10,7,4,84,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Sometimes,245,132,113,50,45,50,64,34,27,21,67,85,46,48,19,13,31,11,16,11,11,21,59,32,15,7,209,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Rarely,265,120,145,56,52,57,41,35,33,42,77,74,40,73,20,12,29,10,27,15,16,23,38,31,34,10,219,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Never,107,44,62,9,6,22,10,27,14,25,23,25,23,34,6,8,16,7,7,12,5,6,12,16,7,5,91,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Don't know,9,4,5,1,1,2,-,2,2,1,2,2,*,5,*,-,1,2,-,1,-,1,1,1,1,-,8,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,747,355,392,152,139,151,143,126,84,91,232,211,122,182,53,30,78,45,77,50,39,66,128,111,54,16,639,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,776,386,390,167,149,171,145,125*,76*,92*,231,213,160*,171,55*,26**,93*,53*,81*,49*,35**,75*,115,118*,61*,16**,671,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,NET: Each time / most times / sometimes,426,226,200,118,109,113,91,41,33,30,129,121,80,97,26,13,59,34,36,27,15,39,80,59,28,9,376,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Each time I go onto social media,80,34,46,19,19,25,20,8,7,*,19,17,20,24,-,7,14,8,12,6,2,7,11,7,5,-,78,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Most times,126,72,53,43,39,35,26,8,7,5,38,28,31,28,9,2,18,6,11,10,4,8,32,21,5,1,112,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Sometimes,220,119,101,55,50,53,44,24,19,25,72,75,28,45,17,5,27,20,13,11,10,23,38,31,19,8,186,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Rarely,233,105,128,42,34,31,42,52,27,39,69,57,53,53,19,7,25,14,33,13,11,27,21,38,20,4,198,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Never,111,51,60,8,6,25,11,31,14,22,33,32,25,21,10,6,9,4,10,9,7,10,13,20,12,3,91,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th February 2021,Don't know,7,4,3,-,-,1,1,1,2,1,-,3,3,1,-,-,-,2,2,-,1,-,1,1,1,-,6,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,692,344,348,121,104,138,146,113,89,85,203,167,153,169,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,683,346,338,139,118*,143,132,103*,90*,76*,194,169,152,168,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,NET: Each time / most times / sometimes,309,167,142,72,65,74,61,45,35,21,88,83,70,68,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Each time / most times I go onto social media,59,31,28,20,18,16,8,4,8,2,20,13,14,11,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Sometimes,250,136,114,52,46,58,54,41,27,19,68,69,56,57,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Rarely,237,123,115,44,35,44,48,33,35,32,57,61,50,70,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 7th to 9th August 2020,Never,137,56,81,23,18,25,23,24,20,23,49,26,32,30,,,,,,,,,,,,,,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,784,387,397,144,131,175,151,128,85,101,239,221,127,197,74,38,91,66,66,55,42,57,127,90,55,23,645,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,802,401,401,156,139,191,140,132,83*,98*,230,220,151,200,70*,39*,90*,73*,64*,49*,47*,64*,134,92*,58*,21**,663,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,NET: Each time / most times / sometimes,376,196,180,86,77,113,75,51,25,27,107,102,73,94,21,15,46,34,32,19,27,33,79,37,23,9,319,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Each time I go onto social media,53,22,31,19,19,17,4,10,1,1,16,15,11,11,6,3,8,4,1,8,-,3,14,5,-,2,45,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Most times,127,66,61,34,29,38,27,11,11,7,40,23,29,35,6,1,14,14,11,5,7,20,30,11,6,3,112,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Sometimes,196,108,88,33,29,57,44,30,13,19,52,64,33,48,9,11,25,16,20,7,20,10,35,21,17,4,163,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Rarely,278,142,136,48,43,50,46,56,39,39,79,80,50,69,24,13,23,20,23,23,19,24,37,43,23,6,228,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 9th to 11th October 2020,Never,147,63,84,22,19,28,19,26,19,32,44,38,28,38,25,10,21,19,9,7,1,7,18,12,12,5,115,,,
