table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 339,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,None of these,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,-,*,*,1,*,-,*,*,-,*,*,*,-,*,-,-,1,-,,,,,,,,,,,,,,,,,,
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,34,37,31,55,19,17,144,140,129,73,361,102,396,408,410,421,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,29,15,19,47,20,17,134,136,112,84,318,74,358,388,395,407,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,45,36,37,78,38,26,205,236,219,112,490,134,537,578,590,605,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,8,7,13,5,4,32,25,31,16,59,27,77,79,77,84,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,20,16,36,19,22,98,118,86,70,235,67,264,268,285,293,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,11,18,10,6,45,75,78,51,132,37,149,152,159,170,-
Table 340,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,9,8,19,5,9,28,48,41,36,74,36,95,100,104,110,-
