table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,11,6,5,4,4,3,1,1,-,2,4,2,-,5,-,-,1,-,4,4,-,-,2,*,-,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,4,28,16,11,4,4,4,9,4,3,3,11,6,6,5,2,2,3,1,4,-,5,3,1,5,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,3,57,32,25,5,5,20,14,4,8,6,18,13,9,17,2,-,8,6,6,5,2,-,11,12,3,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,2,27,15,12,6,4,6,3,5,3,4,12,9,2,4,-,1,6,-,1,2,1,-,6,3,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,4,1,3,1,1,-,1,-,1,2,1,1,1,-,-,-,1,-,-,1,-,-,1,1,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,31,17,15,6,5,6,4,5,4,6,13,10,4,4,-,1,6,-,1,3,1,-,7,4,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.11,3.16,3.06,3.29,3.4,3.14,3.25,3.01,2.87,2.92,3.08,2.98,3.06,3.33,3.44,3.21,2.81,3.13,3.75,3.32,3.51,4,2.82,3.05,2.77,2.45,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.94,0.92,0.98,1.21,1.2,0.83,0.8,0.95,0.81,1.16,0.97,0.96,0.88,0.92,0.58,1.21,0.91,0.36,0.96,1.37,0.7,0,0.91,0.81,0.81,0.83,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,141,76,65,22,19,46,27,23,11,12,47,43,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,154,79*,75*,24**,21**,51*,28**,29**,10**,12**,47*,46*,35**,26**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
