table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Limiting your contact with other people (including family and friends),441,205,237,44,41,53,57,77,77,133,124,122,79,117,37,19,52,35,39,35,25,47,53,50,41,9,371,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Maintaining social distancing,399,189,209,69,57,59,69,62,58,81,122,122,71,85,28,14,53,26,25,21,29,47,51,50,40,13,329,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Wearing a face mask/ covering,408,192,216,71,63,90,49,68,48,82,89,119,96,104,41,15,36,31,35,34,14,33,65,62,33,8,345,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Staying at home as much as possible,336,161,175,41,37,52,49,54,53,88,87,96,62,91,37,11,38,38,30,18,11,22,37,55,31,9,279,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Work from home (if possible),153,77,76,28,24,29,25,32,16,23,56,46,24,28,10,13,15,11,14,14,9,15,17,19,8,8,127,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,Not touching your face when outside,48,30,19,5,3,15,11,7,4,5,17,6,16,9,1,-,3,3,9,7,5,2,10,5,2,2,40,,,
Table 149,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 15th to 17th January 2021,None of these,40,31,9,4,4,10,14,9,2,1,13,8,10,9,3,4,2,4,4,5,-,4,6,4,3,1,37,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 131,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 7th to 9th August 2020,Washing hands regularly and thoroughly,446,198,248,45,40,76,74,74,74,103,115,125,100,106,,,,,,,,,,,,,,,,
