table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,195,84,111,29,27,43,38,28,27,28,59,44,52,40,18,6,20,13,21,18,8,16,20,30,15,9,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,71,86
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,Mean,2.75,2.82,2.7,3.01,3.02,2.79,2.74,2.83,2.41,2.51,2.76,2.73,2.69,2.84,2.76,2.91,2.73,2.74,2.65,2.78,2.74,2.63,3,2.72,2.79,2.2,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,2.72,2.71
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.95,1.01,0.9,1,1.03,0.93,0.97,1.03,0.75,0.76,1.06,0.78,1,0.94,0.94,1.05,0.98,0.74,0.88,0.8,0.8,0.76,1.1,0.99,1.22,0.82,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.94,0.92
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,520,240,280,83,82,118,106,82,58,73,148,154,87,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,514,232,282,85*,84*,116*,102*,93*,52*,66*,142,153,104*,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,70,36,34,13,12,22,15,9,5,6,9,21,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,19,8,11,4,4,5,4,4,2,1,3,3,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,4,51,28,23,9,8,17,12,5,3,6,6,18,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,3,226,94,132,25,25,57,46,39,26,32,66,71,34,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,2,174,81,93,38,38,31,30,36,17,22,55,49,42,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,44,21,23,9,9,7,11,8,4,6,12,11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,218,102,116,47,47,38,40,45,21,28,66,61,51,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,Mean,2.66,2.66,2.67,2.55,2.53,2.84,2.69,2.56,2.67,2.59,2.53,2.69,2.64,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.91,0.93,0.89,0.98,0.98,0.89,0.94,0.88,0.87,0.81,0.8,0.85,0.98,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,487,225,262,79,75,109,102,74,51,72,121,160,79,127,45,29,50,35,35,38,31,41,75,54,38,16,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,491,241,250,83*,81*,121*,96*,71*,52*,66*,122,156,95*,118,42*,30**,51*,34**,34**,37*,29**,43*,82*,53*,39*,17**,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,76,47,29,14,13,28,19,8,4,3,14,18,23,21,8,2,5,4,3,7,2,4,30,6,3,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,14,10,4,6,6,4,2,1,-,1,6,2,3,3,3,-,-,1,2,-,-,-,7,1,-,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,4,62,37,25,8,7,24,17,7,4,2,8,16,20,19,5,2,5,3,1,7,2,4,24,4,3,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,3,220,113,107,40,38,44,45,33,24,34,61,70,36,52,15,18,24,11,16,19,13,20,37,24,20,4,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,2,137,60,77,18,18,39,23,23,15,20,34,47,23,34,14,7,20,15,12,6,9,11,12,15,10,6,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,58,22,36,11,11,11,9,8,10,10,13,22,13,11,4,3,3,3,3,6,4,8,2,8,6,6,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
