table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,1272,612,660,190,171,233,212,222,165,250,354,345,276,297,101*,49*,144,99*,122,82*,56*,109*,184,172,113*,40*,1075,44**,533,470
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,NET: Top 2 box,314,145,168,61,58,86,53,45,31,38,87,66,77,84,28,11,34,24,41,30,7,19,55,36,20,9,270,15,118,131
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,5 - Has me think twice,102,45,57,19,18,29,20,18,5,11,31,24,19,28,6,4,11,8,14,10,-,9,21,13,5,1,94,2,48,41
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,4,212,100,111,42,40,57,33,27,26,27,56,42,58,56,22,7,23,16,28,20,7,10,34,23,16,8,176,13,70,90
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,3,307,135,171,54,48,68,59,49,39,38,67,87,72,80,19,10,33,24,27,19,14,37,43,43,28,11,263,12,130,112
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,2,218,95,123,31,28,37,36,44,27,43,56,70,40,51,13,12,22,21,13,9,14,22,34,31,18,8,182,2,97,76
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,1 - Has not made me think twice,434,236,198,44,37,43,64,83,68,131,144,121,88,81,41,17,56,30,42,24,21,32,52,62,47,12,360,16,189,151
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,NET: Bottom 2 box,651,331,320,75,65,80,100,128,95,174,200,191,128,132,54,28,77,50,55,33,35,54,86,93,65,20,542,18,286,227
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,Mean,2.47,2.38,2.56,2.8,2.85,2.96,2.57,2.33,2.22,1.98,2.36,2.35,2.56,2.66,2.4,2.37,2.39,2.52,2.66,2.8,2.12,2.47,2.66,2.38,2.23,2.46,2.5,2.62,2.42,2.56
Table 98,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.32,1.33,1.3,1.29,1.29,1.28,1.32,1.31,1.22,1.23,1.37,1.26,1.31,1.31,1.37,1.3,1.34,1.3,1.43,1.41,1.06,1.24,1.36,1.3,1.24,1.2,1.33,1.37,1.32,1.34
