table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.11,1.16,1.05,1.02,1.06,1.03,1.09,1.21,1.13,1.11,1.1,1.11,1.06,1.15,1.1,1.01,1.12,1.15,1.11,1.07,1.08,1.16,1.1,1.13,1.08,1.14,1.11,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Top 2 box,1249,603,647,190,167,207,183,189,185,296,350,385,236,278,94,44,142,101,106,86,64,115,181,181,102,34,1057,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,5 - Very concerned,493,248,246,59,52,83,67,72,78,133,135,148,91,119,33,16,62,50,37,34,23,46,78,64,40,11,427,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,4,756,355,401,131,116,124,116,116,107,162,215,236,145,160,61,28,81,50,69,53,41,68,103,116,62,23,631,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,3,575,276,299,70,60,109,100,107,70,120,154,153,129,139,50,27,55,52,59,40,30,52,64,72,56,19,477,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,2,160,79,82,22,19,22,27,34,27,29,46,36,32,46,19,6,22,7,11,13,2,18,20,24,13,6,134,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,1 - Not at all concerned,136,80,56,11,11,16,19,36,24,31,27,24,33,52,15,7,15,14,9,14,5,15,14,13,11,5,111,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Bottom 2 box,296,158,138,33,30,38,46,69,50,60,73,60,65,98,33,13,37,21,20,26,7,33,35,37,24,11,245,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.62,3.59,3.64,3.7,3.7,3.67,3.56,3.43,3.62,3.71,3.67,3.75,3.53,3.48,3.44,3.48,3.65,3.67,3.62,3.52,3.74,3.57,3.75,3.67,3.59,3.48,3.63,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.11,1.15,1.07,0.99,1.01,1.04,1.08,1.19,1.18,1.13,1.06,1.02,1.13,1.22,1.15,1.14,1.15,1.18,1.02,1.19,1,1.16,1.1,1.05,1.09,1.12,1.11,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,NET: Top 2 box,1300,608,692,187,159,211,202,209,191,300,378,377,250,295,108,55,121,104,122,100,55,121,172,182,119,41,1097,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,5 - Very concerned,547,238,309,90,73,86,78,73,76,144,155,178,105,109,49,25,45,34,42,37,24,60,75,85,56,16,458,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,4,753,371,383,97,86,125,124,136,116,156,223,199,145,186,59,31,76,70,80,63,30,61,97,97,63,25,639,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,3,568,298,270,79,73,105,93,103,75,114,142,149,126,151,50,17,69,56,41,31,30,56,86,71,45,14,474,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,2,162,82,80,23,22,20,23,32,25,39,45,47,30,40,12,6,28,10,10,14,10,11,17,26,13,7,134,,,
Table 128,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,1 - Not at all concerned,114,59,55,6,6,23,15,24,18,28,17,32,29,36,9,7,19,5,14,9,7,14,8,14,6,3,95,,,
