table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Work from home (if possible),370,186,184,72,64,73,67,67,41,51,111,144,54,61,32,22,44,28,32,30,17,32,53,43,19,18,303,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,Not touching your face when outside,135,82,53,23,21,44,27,12,14,14,38,32,37,28,12,2,8,9,22,11,6,6,34,13,10,2,115,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 15th to 17th January 2021,None of these,40,31,9,4,4,10,14,9,2,1,13,8,10,9,3,4,2,4,4,5,-,4,6,4,3,1,37,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Washing hands regularly and thoroughly,1456,685,772,164,143,236,219,263,227,347,383,400,314,360,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Limiting your contact with other people (including family and friends),807,415,392,108,93,121,124,132,126,196,222,234,155,195,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Maintaining social distancing,1506,720,786,198,168,234,224,270,223,356,416,422,300,368,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Wearing a face mask/ covering,1099,515,584,186,157,191,169,172,141,239,300,299,218,283,,,,,,,,,,,,,,,,
Table 129,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 7th to 9th August 2020,Staying at home as much as possible,881,457,423,121,104,132,135,147,130,217,233,241,186,221,,,,,,,,,,,,,,,,
