table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,1 - Relying completely on media/official sources,549,290,259,34,32,51,80,100,88,196,158,146,118,127,50,21,58,48,39,45,19,56,64,79,44,25,454,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,NET: Bottom 2 box,1177,603,574,129,119,142,180,200,195,331,350,336,227,264,105,43,131,96,91,91,49,119,146,164,98,43,979,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,Mean,2.33,2.29,2.36,2.66,2.63,2.73,2.32,2.3,2.14,1.97,2.26,2.34,2.35,2.38,2.21,2.45,2.31,2.35,2.55,2.16,2.51,2.2,2.43,2.28,2.31,2.1,2.34,,,
Table 98,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.05,1.07,1.02,0.99,1.01,1.11,1.01,1.04,0.94,0.97,1.04,1.04,1.08,1.04,0.97,1.16,0.99,1.11,1.16,0.94,1.1,0.95,1.09,1.04,0.98,1.12,1.05,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2062,1025,1037,255,224,330,342,367,304,464,639,565,397,461,170,81,214,157,172,165,101,199,291,298,154,60,1731,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2060,1012,1048,287,247,344,323,352,295,461,567,587,414,492,164,83*,229,168,183,148,97*,193,273,287,174,62*,1738,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,NET: Top 2 box,263,135,127,56,49,61,59,38,18,30,66,61,68,67,19,13,29,17,35,16,10,22,52,29,11,10,224,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,5 - Relying completely on people I know/people in my local area/people on social media,66,32,35,14,12,23,14,5,6,5,14,12,22,18,4,5,10,8,7,1,-,5,17,5,2,3,59,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,4,196,104,93,43,37,38,45,33,13,24,52,49,46,49,15,8,19,9,28,15,10,17,35,24,9,7,164,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 6th to 8th November 2020,3,652,275,377,94,77,133,113,112,81,119,157,171,141,184,53,36,71,53,52,43,30,56,84,99,55,20,550,,,
