table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,3.6,3.57,3.53,3.5,3.58,3.79,3.56,3.51,3.47,3.5,3.56,3.59,3.55,3.66,3.65,2.84,3.39,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 143,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.82,0.8,0.83,0.83,0.86,0.85,0.89,0.92,0.81,0.86,0.79,0.79,0.54,0.81,0.73,0.69,0.84,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,27,19,18,46,24,16,96,119,93,59,232,72,251,243,263,269,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40**,27**,17**,17**,47*,24**,15**,98*,121,93*,57*,235,75*,255,247,266,271,-**,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,11,9,5,24,10,6,45,66,45,28,131,45,142,141,148,148,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,1,8,1,1,9,13,6,3,26,7,28,29,29,29,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,4,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,7,4,16,9,5,37,53,39,25,105,38,113,112,118,119,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,3,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,7,10,20,14,8,44,49,38,24,95,24,102,93,104,108,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,-,-,-,-,6,5,7,5,6,4,8,10,10,10,-,,,,,,,,,
Table 144,Q5. Trust in the sources for information/news about Coronavirus used in last week: Commercial Radio,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,1,3,-,1,2,1,3,-,2,2,3,4,4,4,-,,,,,,,,,
